date,close,donchian_high,donchian_low,breakout_signal,position,unrealized_pnl,cumulative_pnl
2025-01-02,701.78,757.2,687.43,0,FLAT,0.0,0.0
2025-01-03,715.0,757.2,687.43,0,FLAT,0.0,0.0
2025-01-06,772.5,781.09,687.43,0,FLAT,0.0,0.0
2025-01-07,764.0,781.09,687.43,0,FLAT,0.0,0.0
2025-01-08,739.0,781.09,687.43,0,FLAT,0.0,0.0
2025-01-10,738.6,781.09,687.43,0,FLAT,0.0,0.0
2025-01-13,735.55,781.09,687.43,0,FLAT,0.0,0.0
2025-01-14,738.5,781.09,687.43,0,FLAT,0.0,0.0
2025-01-15,729.0,781.09,687.43,0,FLAT,0.0,0.0
2025-01-16,750.0,781.09,687.43,0,FLAT,0.0,0.0
2025-01-17,758.9,781.09,687.43,0,FLAT,0.0,0.0
2025-01-21,768.0,781.09,687.43,0,FLAT,0.0,0.0
2025-01-22,765.0,784.82,687.43,0,FLAT,0.0,0.0
2025-01-23,748.88,784.82,687.43,0,FLAT,0.0,0.0
2025-01-24,732.0,784.82,687.43,0,FLAT,0.0,0.0
2025-01-27,692.88,784.82,650.0,0,FLAT,0.0,0.0
2025-01-28,689.5,784.82,650.0,0,FLAT,0.0,0.0
2025-01-29,714.0,784.82,650.0,0,FLAT,0.0,0.0
2025-01-30,740.0,784.82,650.0,0,FLAT,0.0,0.0
2025-01-31,739.28,784.82,650.0,0,FLAT,0.0,0.0
2025-02-03,736.7,784.82,650.0,0,FLAT,0.0,0.0
2025-02-04,729.64,784.82,650.0,0,FLAT,0.0,0.0
2025-02-05,741.0,784.82,650.0,0,FLAT,0.0,0.0
2025-02-06,739.0,784.82,650.0,0,FLAT,0.0,0.0
2025-02-07,725.51,784.82,650.0,0,FLAT,0.0,0.0
2025-02-10,743.92,784.82,650.0,0,FLAT,0.0,0.0
2025-02-11,753.0,784.82,650.0,0,FLAT,0.0,0.0
2025-02-12,750.0,784.82,650.0,0,FLAT,0.0,0.0
2025-02-13,773.5,784.82,650.0,0,FLAT,0.0,0.0
2025-02-14,755.0,784.82,650.0,0,FLAT,0.0,0.0
2025-02-18,745.99,784.82,650.0,0,FLAT,0.0,0.0
2025-02-19,743.75,784.82,650.0,0,FLAT,0.0,0.0
2025-02-20,742.97,780.92,650.0,0,FLAT,0.0,0.0
2025-02-21,735.05,780.92,650.0,0,FLAT,0.0,0.0
2025-02-24,736.0,780.92,650.0,0,FLAT,0.0,0.0
2025-02-25,732.47,780.92,666.6,0,FLAT,0.0,0.0
2025-02-26,749.8,780.92,688.0,0,FLAT,0.0,0.0
2025-02-27,700.9,780.92,696.91,0,FLAT,0.0,0.0
2025-02-28,709.09,780.92,696.91,0,FLAT,0.0,0.0
2025-03-03,700.0,780.92,692.47,0,FLAT,0.0,0.0
2025-03-04,715.99,780.92,692.47,0,FLAT,0.0,0.0
2025-03-05,736.0,780.92,692.47,0,FLAT,0.0,0.0
2025-03-06,720.08,780.92,692.47,0,FLAT,0.0,0.0
2025-03-07,732.0,780.92,692.47,0,FLAT,0.0,0.0
2025-03-10,676.5,780.92,676.0,0,FLAT,0.0,0.0
2025-03-11,691.4,780.92,676.0,0,FLAT,0.0,0.0
2025-03-12,705.51,780.92,676.0,0,FLAT,0.0,0.0
2025-03-13,698.94,780.92,676.0,0,FLAT,0.0,0.0
2025-03-14,714.6,780.92,676.0,0,FLAT,0.0,0.0
2025-03-17,732.86,763.08,676.0,0,FLAT,0.0,0.0
2025-03-18,730.0,755.51,676.0,0,FLAT,0.0,0.0
2025-03-19,734.91,755.51,676.0,0,FLAT,0.0,0.0
2025-03-20,736.0,753.77,676.0,0,FLAT,0.0,0.0
2025-03-21,716.88,753.77,676.0,0,FLAT,0.0,0.0
2025-03-24,728.61,753.77,676.0,0,FLAT,0.0,0.0
2025-03-25,726.69,753.77,676.0,0,FLAT,0.0,0.0
2025-03-26,704.0,747.98,676.0,0,FLAT,0.0,0.0
2025-03-27,689.51,746.75,676.0,0,FLAT,0.0,0.0
2025-03-28,672.6,746.75,672.05,0,FLAT,0.0,0.0
2025-03-31,660.81,746.75,652.0,0,FLAT,0.0,0.0
2025-04-01,667.23,746.75,652.0,0,FLAT,0.0,0.0
2025-04-02,645.08,746.75,645.0,0,FLAT,0.0,0.0
2025-04-03,624.5,746.75,622.5,0,FLAT,0.0,0.0
2025-04-04,601.5,746.75,597.69,0,FLAT,0.0,0.0
2025-04-07,629.0,746.75,567.98,0,FLAT,0.0,0.0
2025-04-08,590.0,746.75,567.98,0,FLAT,0.0,0.0
2025-04-09,681.51,746.75,567.98,0,FLAT,0.0,0.0
2025-04-10,644.0,746.75,567.98,0,FLAT,0.0,0.0
2025-04-11,668.74,746.75,567.98,0,FLAT,0.0,0.0
2025-04-14,671.53,746.75,567.98,0,FLAT,0.0,0.0
2025-04-15,673.25,746.75,567.98,0,FLAT,0.0,0.0
2025-04-16,637.0,743.85,567.98,0,FLAT,0.0,0.0
2025-04-17,642.78,736.01,567.98,0,FLAT,0.0,0.0
2025-04-21,625.0,736.01,567.98,0,FLAT,0.0,0.0
